735975.2917,  -5.90,   1.90
735975.3333,  -5.80,   1.70
735975.3750,  -5.40,   1.60
735975.4167,  -4.90,   1.70
735975.4583,  -4.80,   1.70
735975.5000,  -4.70,   1.50
735975.5417,  -1.30,   1.50
735975.5833,   1.60,   1.60
735975.6250,  -0.40,   1.50
735975.6667,   0.20,   1.50
735975.7083,   1.10,   1.80
735975.7500,   1.90,   1.80
735975.7917,   2.20,   1.80
735975.8333,   2.50,   2.00
735975.8750,   2.60,   1.90
735975.9167,   2.80,   2.00
735975.9583,   3.20,   2.00
735976.0000,   3.40,   1.90
735976.0417,   3.00,   2.00
735976.0833,   3.00,   1.80
735976.1250,   3.00,   2.00
735976.1667,   2.70,   2.10
735976.2083,   3.10,   2.10
735976.2500,   3.50,   2.20
735976.2917,   2.90,   2.30
735976.3333,   3.10,   2.40
735976.3750,   3.90,   2.30
735976.4167,   3.60,   2.30
735976.4583,   3.20,   2.40
735976.5000,   3.10,   2.60
735976.5417,   3.40,   2.90
735976.5833,   2.60,   3.00
735976.6250,   2.60,   2.80
735976.6667,   2.80,   2.50
735976.7083,   3.90,   2.40
735976.7500,   4.80,   2.40
735976.7917,   7.40,   2.50
735976.8333,   3.70,   2.60
735976.8750,   3.10,   3.40
735976.9167,   4.90,   3.50
735976.9583,   4.50,   3.40
735977.0000,   4.40,   3.30
735977.0417,   3.60,   3.30
735977.0833,   3.30,   3.30
735977.1250,   3.40,   3.30
735977.1667,   3.40,   3.30
735977.2083,   3.20,   3.20
735977.2500,   2.90,   3.00
735977.2917,   2.60,   3.00
735977.3333,   2.40,   2.90
735977.3750,   2.10,   2.90
735977.4167,   1.90,   2.80
735977.4583,   1.60,   2.70
735977.5000,   1.20,   2.70
735977.5417,   0.60,   2.70
735977.5833,   0.00,   2.60
735977.6250,   0.10,   2.50
735977.6667,   0.00,   2.50
735977.7083,   0.00,   2.60
735977.7500,  -0.20,   2.60
735977.7917,  -0.90,   2.70
735977.8333,  -1.20,   2.50
735977.8750,  -1.80,   2.50
735977.9167,  -2.60,   2.50
735977.9583,  -3.00,   2.40
735978.0000,  -3.20,   2.40
735978.0417,  -4.00,   2.40
735978.0833,  -4.60,   2.20
735978.1250,  -4.90,   1.90
735978.1667,  -4.60,   2.10
735978.2083,  -4.30,   2.20
735978.2500,  -3.70,   2.30
735978.2917,  -3.20,   2.50
735978.3333,   1.80,   2.80
735978.3750,   1.70,   2.40
735978.4167,   1.70,   2.30
735978.4583,   2.00,   2.40
735978.5000,   2.10,   2.30
735978.5417,   1.40,   2.30
735978.5833,   1.60,   2.10
735978.6250,   1.90,   1.80
735978.6667,   1.80,   1.90
735978.7083,   1.60,   2.40
735978.7500,   1.80,   2.40
735978.7917,   1.50,   2.60
735978.8333,   1.30,   2.70
735978.8750,   1.00,   2.60
735978.9167,   0.70,   2.60
735978.9583,   0.70,   2.50
735979.0000,   0.70,   2.50
735979.0417,   0.70,   2.40
735979.0833,   0.10,   1.80
735979.1250,  -0.20,   1.80
735979.1667,  -0.40,   2.10
735979.2083,  -0.40,   2.60
735979.2500,  -0.70,   2.60
735979.2917,  -1.00,   2.60
735979.3333,  -1.40,   2.50
735979.3750,  -1.50,   2.60
735979.4167,  -1.30,   2.80
735979.4583,  -1.20,   2.80
735979.5000,  -1.20,   2.70
735979.5417,  -1.20,   2.60
735979.5833,  -0.90,   2.80
735979.6250,  -0.30,   2.70
735979.6667,   0.80,   2.70
735979.7083,   0.00,   2.80
735979.7500,   0.10,   3.10
735979.7917,   1.40,   3.20
735979.8333,   2.70,   3.10
735979.8750,   1.90,   3.10
735979.9167,   1.30,   3.10
735979.9583,   0.90,   3.10
735980.0000,   0.70,   3.10
735980.0417,   0.70,   3.10
735980.0833,   0.60,   3.00
735980.1250,   0.30,   3.00
735980.1667,   0.30,   3.00
735980.2083,   0.10,   2.80
735980.2500,   0.00,   2.90
735980.2917,   0.30,   2.90
735980.3333,   0.20,   2.90
735980.3750,   0.00,   2.90
735980.4167,  -0.50,   2.80
735980.4583,   0.00,   2.70
